index,acc_x,acc_z,resp,pzt,eda,emg
372,607,544,496,804,24,33
373,608,545,496,811,24,33
374,607,544,496,803,24,33
375,607,543,497,797,24,33
376,607,544,497,776,24,33
377,608,545,498,755,24,33
378,608,543,499,720,24,32
379,607,543,500,689,24,33
380,607,544,502,652,24,33
381,607,545,503,627,24,33
382,607,545,504,596,24,33
383,607,543,506,576,24,33
384,607,543,507,550,24,33
385,608,545,509,535,24,33
386,607,545,510,513,24,33
387,607,543,512,504,24,33
388,608,543,513,494,24,33
389,608,545,515,496,24,33
390,608,545,515,492,24,33
391,607,543,517,502,24,33
392,607,544,517,505,24,33
393,608,545,518,517,24,33
394,608,545,518,522,24,33
395,607,543,518,535,24,33
396,607,543,517,539,24,33
397,608,545,516,552,24,33
398,608,545,515,554,24,33
399,608,543,514,564,24,33
400,607,543,513,566,24,33
401,608,544,512,575,24,33
402,608,545,511,576,24,33
403,608,543,510,585,24,33
404,607,543,508,585,24,33
405,608,545,507,591,24,33
406,607,545,505,588,24,33
407,608,544,504,594,24,33
408,607,543,502,595,24,33
409,607,544,500,603,24,33
410,607,544,499,601,24,33
411,608,544,498,604,24,33
412,608,544,496,595,24,33
413,607,544,495,591,24,33
414,608,544,495,575,24,33
415,608,544,495,570,24,33
416,606,543,494,558,24,33
417,608,544,495,553,24,33
418,608,545,494,541,24,33
419,608,544,495,537,24,33
420,607,543,495,525,24,33
421,608,545,495,518,24,33
422,607,544,496,507,24,33
423,608,544,495,504,24,33
424,607,544,494,496,24,33
425,607,545,493,499,24,33
426,608,545,492,495,24,33
427,607,544,490,500,24,33
428,607,544,487,499,24,33
429,607,544,486,505,24,33
430,608,545,484,507,24,33
431,608,545,482,519,24,33
432,607,543,480,524,24,33
433,607,544,477,540,24,33
434,608,545,475,551,24,33
435,608,545,472,572,24,33
436,607,545,469,583,24,33
437,607,544,466,604,24,33
438,608,544,464,617,24,33
439,608,544,462,638,24,33
440,607,543,459,652,24,32
441,607,543,457,673,24,33
442,607,545,455,684,24,33
443,608,545,454,703,24,33
444,607,544,452,712,24,33
445,607,543,452,727,24,33
446,608,545,451,728,24,32
447,609,545,449,732,24,33
448,607,544,449,724,24,33
449,606,543,448,723,24,33
450,608,545,448,714,24,33
451,608,545,447,717,24,33
452,607,544,447,711,24,33
453,607,543,447,712,24,33
454,608,544,447,707,24,33
455,609,546,446,710,24,33
456,607,544,446,711,24,33
457,606,543,446,729,24,33
458,608,544,446,747,24,33
459,609,545,445,782,24,33
460,606,544,444,817,24,33
461,606,544,444,872,24,33
462,608,545,443,926,24,33
463,608,545,442,970,24,33
464,607,544,441,970,24,33
465,607,543,440,971,24,33
466,608,545,440,971,24,33
467,609,545,440,970,24,33
468,607,543,440,971,24,33
469,606,543,440,970,24,33
470,607,544,440,971,24,33
471,608,545,441,971,24,33
472,606,545,441,971,24,33
473,607,543,442,971,24,33
474,607,544,443,971,24,33
475,609,545,444,971,24,33
476,607,544,445,971,24,33
477,607,544,446,971,24,33
478,607,544,447,971,24,33
479,608,544,449,971,24,33
480,608,544,450,971,24,33
481,607,544,452,971,24,33
482,608,543,454,971,24,33
483,608,545,456,970,24,33
484,608,545,457,970,24,33
485,607,543,458,970,24,33
486,607,543,460,858,24,33
487,608,545,460,543,24,33
488,608,545,461,247,24,33
489,606,544,462,7,24,33
490,607,543,463,0,24,33
491,609,545,463,0,24,33
492,608,545,463,0,24,33
493,607,543,464,0,24,33
494,607,543,464,0,24,33
495,609,544,465,0,24,33
496,607,544,465,0,24,33
497,607,543,466,0,24,33
498,606,543,467,0,24,33
499,609,545,467,0,24,33
500,609,546,467,0,24,33
501,607,543,467,0,24,33
502,607,543,468,0,24,33
503,608,545,468,73,24,33
504,607,544,469,225,24,33
505,606,543,469,379,24,33
506,607,543,470,510,24,33
507,608,544,470,629,24,33
508,608,546,471,718,24,33
509,607,543,471,795,24,33
510,606,543,472,843,24,33
511,608,544,472,877,24,33
512,608,546,473,884,24,33
513,607,544,473,882,24,33
514,606,543,474,857,24,33
515,608,544,475,829,24,33
516,608,545,476,784,24,33
517,607,543,477,743,24,33
518,606,543,478,697,24,33
519,609,545,480,659,24,33
520,608,546,480,616,24,33
521,608,543,481,588,24,33
522,606,543,481,558,24,33
523,608,543,481,539,24,33
524,608,545,481,513,24,33
525,607,544,480,502,24,33
526,606,543,480,489,24,33
527,608,544,479,492,24,33
528,608,545,479,495,24,32
529,608,544,478,513,24,33
530,606,544,478,527,24,33
531,607,543,478,555,24,33
532,608,545,478,576,24,33
533,608,544,477,605,24,33
534,607,543,477,625,24,33
535,608,544,477,647,24,33
536,607,545,476,655,24,33
537,608,545,476,664,24,33
538,607,544,476,659,24,33
539,608,543,476,657,24,32
540,607,545,476,643,24,33
541,608,544,476,633,24,33
542,607,544,476,614,24,33
543,608,544,476,600,24,33
544,608,545,476,577,24,32
545,608,545,476,562,24,33
546,607,544,476,539,24,33
547,608,543,476,522,24,33
548,608,544,476,499,24,33
549,607,544,476,485,24,33
550,607,544,476,465,24,33
551,607,543,475,451,24,33
552,608,545,475,430,24,33
553,608,545,475,415,24,33
554,607,544,475,391,24,33
555,608,543,474,378,24,33
556,607,545,474,361,24,33
557,608,545,474,360,24,33
558,607,544,474,356,24,33
559,608,543,473,371,24,33
560,607,544,473,384,24,33
561,607,544,473,406,24,33
562,607,544,472,423,24,33
563,607,543,472,448,24,33
564,608,544,471,463,24,33
565,608,545,471,487,24,33
566,607,544,470,496,24,33
567,608,543,470,508,24,33
568,608,545,470,505,24,33
569,608,544,470,505,24,33
570,607,543,470,497,24,33
571,608,543,470,500,24,33
572,607,545,471,493,24,33
573,608,545,471,499,24,33
574,608,544,472,496,24,33
575,608,544,473,502,24,33
576,608,545,475,495,24,33
577,608,544,476,490,24,33
578,607,544,478,469,24,33
579,608,544,479,451,24,33
580,606,543,480,426,24,33
581,608,544,482,410,24,33
582,607,544,483,392,24,33
583,608,544,483,388,24,33
584,608,544,484,384,24,33
585,607,544,485,388,24,33
586,606,543,485,384,24,33
587,608,543,486,391,24,33
588,606,545,486,393,24,33
589,607,544,486,404,24,33
590,608,544,486,400,24,32
591,608,543,485,398,24,33
592,607,543,485,374,24,33
593,608,545,485,346,24,33
594,607,545,484,300,24,33
595,607,543,484,252,24,33
596,608,543,483,183,24,33
597,608,545,482,112,24,33
598,608,546,481,26,24,33
599,607,543,480,0,24,33
600,607,545,478,0,24,33
601,608,545,476,0,24,33
