acc_x,acc_z,resp,pzt,eda,emg
510,614,391,444,4,30
511,614,390,441,5,35
511,615,388,436,4,31
511,615,387,431,5,36
511,614,384,428,4,31
511,614,382,423,5,35
511,614,379,419,4,30
511,613,379,416,5,36
510,614,378,414,4,32
511,614,378,410,5,33
511,614,378,406,4,33
511,614,377,403,5,33
511,614,375,400,4,32
511,614,371,399,5,35
511,614,368,399,4,31
511,614,366,399,5,40
511,614,363,400,4,31
511,614,360,401,5,37
511,614,359,401,4,29
510,614,356,402,5,36
510,614,355,407,4,29
511,615,356,409,5,38
512,614,358,410,4,30
511,615,360,412,5,33
511,614,362,414,4,32
511,614,364,414,5,38
512,614,367,414,4,29
510,614,369,413,5,39
510,614,371,414,4,32
511,614,372,415,5,32
511,614,373,418,4,29
511,614,374,423,4,43
510,615,375,432,4,32
511,614,376,443,5,38
511,615,376,459,4,26
511,614,376,476,5,40
510,615,376,496,4,30
511,614,377,514,5,45
512,614,379,532,4,26
511,614,378,547,4,40
510,613,378,559,4,33
511,614,376,567,5,33
511,614,376,569,4,33
511,614,374,570,4,37
511,614,373,567,4,37
511,614,372,561,5,32
511,615,370,552,4,22
511,615,368,542,5,29
510,614,366,531,4,33
511,614,364,521,5,39
512,615,363,512,4,31
511,614,361,503,4,38
510,614,358,494,4,32
511,614,356,486,4,35
511,614,356,480,4,31
510,614,353,474,5,38
511,614,350,468,4,33
510,614,348,460,5,32
511,614,347,453,4,31
510,614,343,446,4,33
511,615,341,443,4,35
510,614,339,439,4,33
511,614,337,437,4,30
511,614,336,438,5,35
511,614,337,440,4,30
511,614,335,443,4,36
511,614,335,446,4,28
511,614,335,450,4,36
511,614,337,453,4,30
511,615,338,454,5,35
511,615,338,456,4,31
510,614,339,457,5,35
511,614,341,457,4,30
511,614,343,458,4,40
512,614,344,459,4,29
511,615,346,459,4,32
510,614,348,457,4,28
511,613,350,455,5,34
511,614,351,451,4,30
511,614,352,448,4,35
510,614,353,444,4,30
511,614,356,441,4,36
511,615,356,438,4,31
511,614,357,435,5,35
511,614,357,432,4,31
511,614,357,431,5,35
512,614,358,430,4,30
511,614,360,428,4,36
510,614,360,424,4,31
510,615,362,424,5,35
511,614,361,424,4,30
511,614,363,426,5,35
511,614,364,426,4,30
510,615,364,425,5,35
512,614,364,426,4,31
511,614,363,427,4,35
511,614,366,428,4,32
511,614,367,428,5,38
511,614,370,429,4,30
511,614,374,430,5,35
510,614,373,431,4,30
511,615,374,432,5,35
511,614,373,432,4,30
511,614,372,434,5,35
511,614,372,436,4,30
511,614,370,439,5,35
510,614,369,444,4,30
510,614,369,451,5,38
511,614,371,462,4,37
511,614,375,475,5,34
511,614,378,492,4,30
510,615,383,511,5,36
511,614,387,531,4,31
511,614,392,549,5,35
511,614,397,566,4,30
511,614,401,580,4,35
510,614,408,592,4,30
511,614,413,600,4,35
512,615,417,604,4,33
511,614,422,604,4,34
510,614,426,601,4,30
510,614,431,593,4,36
511,615,435,585,4,31
510,614,439,576,4,36
511,614,441,566,4,31
511,615,445,557,5,35
511,614,449,548,4,31
511,614,453,540,4,36
511,614,457,530,4,30
510,615,461,522,4,37
512,615,464,517,4,27
510,615,467,510,4,35
511,614,468,502,4,30
510,614,469,496,5,36
